PID,Turnaround,Waiting,Response
0,4,3,3
0,5,0,0
0,23,5,5
0,10,0,0
0,7,0,0
1,3,0,0
1,9,1,1
1,5,0,0
1,10,9,9
1,6,3,3
2,6,3,3
2,14,12,12
2,22,21,21
2,11,9,9
2,7,5,5
3,7,5,5
3,12,8,8
3,28,18,18
3,12,9,9
3,26,5,5
4,15,6,6
4,19,10,10
4,29,24,24
4,15,11,11
4,27,26,26
5,17,14,14
5,20,17,17
5,31,28,28
5,15,13,13
5,20,19,19
6,18,16,16
6,23,18,18
6,29,28,28
6,17,12,12
6,21,16,16
7,14,13,13
7,23,22,22
7,30,27,27
7,12,10,10
7,23,13,13
8,21,14,14
8,32,26,26
8,43,29,29
8,20,15,15
8,19,18,18
9,21,19,19
9,26,23,23
9,43,42,42
9,21,19,19
9,21,18,18
10,22,20,20
10,32,31,31
10,40,38,38
10,31,21,21
10,29,20,20
11,27,21,21
11,31,30,30
11,41,40,40
11,52,30,30
11,38,29,29
12,27,24,24
12,44,31,31
12,44,40,40
12,54,50,50
12,40,37,37
13,32,25,25
13,69,43,43
13,44,41,41
13,56,50,50
13,52,39,39
14,31,28,28
14,69,66,66
14,46,44,44
14,60,55,55
14,52,51,51
15,34,30,30
15,76,67,67
15,48,44,44
15,67,59,59
15,52,50,50
16,39,34,34
16,77,75,75
16,48,47,47
16,70,65,65
16,56,50,50
17,40,38,38
17,72,70,70
17,56,47,47
17,73,69,69
17,54,51,51
18,49,39,39
18,97,69,69
18,57,56,56
18,81,69,69
18,62,54,54
19,49,46,46
19,104,97,97
19,64,55,55
19,85,81,81
19,67,61,61
20,50,48,48
20,105,103,103
20,65,64,64
20,79,78,78
20,68,66,66
21,53,46,46
21,105,104,104
21,69,62,62
21,90,78,78
21,67,65,65
22,60,52,52
22,111,98,98
22,68,67,67
22,88,87,87
22,67,65,65
23,66,58,58
23,122,109,109
23,71,63,63
23,113,87,87
23,67,66,66
24,67,65,65
24,123,122,122
24,77,69,69
24,115,112,112
24,75,58,58
25,65,64,64
25,135,122,122
25,76,75,75
25,116,112,112
25,93,74,74
26,70,60,60
26,135,132,132
26,84,76,76
26,122,110,110
26,92,91,91
27,71,69,69
27,135,133,133
27,90,83,83
27,121,117,117
27,101,87,87
28,72,71,71
28,135,134,134
28,86,84,84
28,122,121,121
28,106,100,100
29,73,70,70
29,137,135,135
29,90,81,81
29,121,119,119
29,103,102,102
30,77,72,72
30,134,133,133
30,95,85,85
30,116,113,113
30,108,102,102
31,83,77,77
31,133,132,132
31,95,93,93
31,118,117,117
31,111,110,110
32,86,78,78
32,131,129,129
32,94,93,93
32,117,114,114
32,109,105,105
33,89,85,85
33,152,130,130
33,101,93,93
33,122,116,116
33,110,109,109
34,89,88,88
34,155,152,152
34,97,95,95
34,127,121,121
34,111,108,108
35,95,83,83
35,160,154,154
35,98,92,92
35,123,121,121
35,115,109,109
36,93,92,92
36,162,159,159
36,101,97,97
36,129,119,119
36,115,114,114
37,97,90,90
37,160,159,159
37,100,99,99
37,131,125,125
37,116,113,113
38,102,96,96
38,161,158,158
38,105,93,93
38,133,129,129
38,122,114,114
39,107,100,100
39,168,158,158
39,104,101,101
39,131,130,130
39,125,122,122
40,110,105,105
40,171,167,167
40,104,103,103
40,130,124,124
40,135,124,124
41,114,108,108
41,174,170,170
41,110,102,102
41,142,130,130
41,133,132,132
42,108,107,107
42,172,171,171
42,110,104,104
42,147,139,139
42,132,130,130
43,113,111,111
43,179,173,173
43,119,110,110
43,150,147,147
43,146,135,135
44,114,112,112
44,173,168,168
44,118,116,116
44,151,149,149
44,135,133,133
45,122,112,112
45,178,177,177
45,114,113,113
45,152,149,149
45,144,142,142
46,127,122,122
46,185,178,178
46,115,110,110
46,164,152,152
46,144,143,143
47,135,121,121
47,183,182,182
47,119,115,115
47,163,161,161
47,145,143,143
48,154,134,134
48,187,182,182
48,125,115,115
48,160,159,159
48,152,142,142
49,159,153,153
49,193,187,187
49,137,125,125
49,160,159,159
49,158,151,151
50,162,159,159
50,218,210,210
50,139,137,137
50,162,157,157
50,155,152,152
51,165,161,161
51,209,191,191
51,141,136,136
51,165,161,161
51,159,154,154
52,166,165,165
52,210,209,209
52,145,141,141
52,168,165,165
52,157,156,156
53,172,163,163
53,217,215,215
53,145,141,141
53,172,166,166
53,159,154,154
54,172,171,171
54,226,214,214
54,160,145,145
54,180,172,172
54,162,158,158
55,176,169,169
55,227,224,224
55,154,152,152
55,181,179,179
55,163,160,160
56,177,175,175
56,225,222,222
56,160,153,153
56,183,180,180
56,171,163,163
57,178,171,171
57,225,224,224
57,165,159,159
57,180,176,176
57,178,171,171
58,173,170,170
58,227,225,225
58,166,164,164
58,182,179,179
58,192,191,191
59,175,172,172
59,232,224,224
59,173,165,165
59,192,178,178
59,191,179,179
60,176,174,174
60,243,231,231
60,175,173,173
60,193,191,191
60,179,176,176
61,173,170,170
61,241,239,239
61,175,174,174
61,195,187,187
61,196,191,191
62,177,172,172
62,242,238,238
62,176,170,170
62,196,193,193
62,191,189,189
63,180,175,175
63,236,231,231
63,179,170,170
63,199,196,196
63,196,191,191
64,182,175,175
64,233,232,232
64,174,170,170
64,198,196,196
64,201,194,194
65,185,181,181
65,234,230,230
65,176,174,174
65,197,190,190
65,201,200,200
66,189,184,184
66,241,232,232
66,183,175,175
66,196,193,193
66,202,191,191
67,189,188,188
67,256,248,248
67,183,180,180
67,197,196,196
67,207,200,200
68,195,188,188
68,248,239,239
68,185,181,181
68,201,196,196
68,207,206,206
69,192,191,191
69,259,254,254
69,190,185,185
69,216,200,200
69,208,204,204
70,192,188,188
70,260,259,259
70,192,186,186
70,223,215,215
70,217,207,207
71,201,191,191
71,263,260,260
71,196,190,190
71,239,221,221
71,221,217,217
72,205,199,199
72,272,263,263
72,202,190,190
72,243,235,235
72,248,221,221
73,205,203,203
73,271,270,270
73,205,202,202
73,250,239,239
73,253,247,247
74,205,202,202
74,288,270,270
74,219,201,201
74,254,248,248
74,254,252,252
75,213,204,204
75,285,277,277
75,217,216,216
75,258,252,252
75,260,251,251
76,215,208,208
76,291,284,284
76,221,215,215
76,260,256,256
76,254,253,253
77,213,207,207
77,296,291,291
77,234,219,219
77,266,263,263
77,260,249,249
78,214,212,212
78,294,293,293
78,234,233,233
78,263,253,253
78,259,258,258
79,232,214,214
79,289,288,288
79,237,234,234
79,261,257,257
79,265,263,263
80,238,230,230
80,290,288,288
80,239,235,235
80,264,260,260
80,263,255,255
81,239,237,237
81,292,289,289
81,244,234,234
81,265,264,264
81,290,265,265
82,237,232,232
82,293,289,289
82,249,242,242
82,263,260,260
82,289,287,287
83,250,236,236
83,293,292,292
83,248,245,245
83,275,263,263
83,302,287,287
84,250,249,249
84,286,284,284
84,248,246,246
84,280,274,274
84,302,294,294
85,258,248,248
85,287,286,286
85,249,248,248
85,279,278,278
85,304,302,302
86,261,256,256
86,289,286,286
86,249,248,248
86,295,276,276
86,303,302,302
87,269,257,257
87,290,288,288
87,251,248,248
87,297,295,295
87,316,302,302
88,276,270,270
88,290,288,288
88,260,249,249
88,296,294,294
88,328,319,319
89,270,267,267
89,293,288,288
89,261,255,255
89,295,293,293
89,319,315,315
90,278,275,275
90,291,286,286
90,275,261,261
90,301,295,295
90,331,324,324
91,275,274,274
91,300,289,289
91,287,274,274
91,305,300,300
91,332,330,330
92,286,273,273
92,305,298,298
92,292,287,287
92,304,302,302
92,336,329,329
93,290,283,283
93,306,304,304
93,303,290,290
93,309,303,303
93,336,333,333
94,289,287,287
94,311,305,305
94,305,303,303
94,312,305,305
94,340,333,333
95,287,286,286
95,316,311,311
95,317,304,304
95,313,311,311
95,343,336,336
96,288,287,287
96,316,315,315
96,321,315,315
96,328,313,313
96,354,341,341
97,287,285,285
97,331,326,326
97,320,319,319
97,331,326,326
97,352,351,351
98,291,285,285
98,325,315,315
98,332,324,324
98,343,331,331
98,354,350,350
99,292,289,289
99,326,325,325
99,324,319,319
99,355,340,340
99,351,347,347
100,296,291,291
100,338,329,329
100,332,331,331
100,360,353,353
100,354,351,351
101,297,294,294
101,341,337,337
101,336,331,331
101,358,356,356
101,361,354,354
102,299,297,297
102,358,339,339
102,336,332,332
102,356,354,354
102,363,359,359
103,301,298,298
103,360,357,357
103,348,331,331
103,364,355,355
103,373,362,362
104,301,298,298
104,367,358,358
104,350,348,348
104,371,364,364
104,378,370,370
105,308,301,301
105,368,366,366
105,354,350,350
105,375,374,374
105,392,378,378
106,317,304,304
106,380,367,367
106,362,353,353
106,374,368,368
106,390,381,381
107,315,314,314
107,383,379,379
107,363,360,360
107,373,371,371
107,398,389,389
108,316,312,312
108,389,381,381
108,383,361,361
108,377,370,370
108,398,396,396
109,327,316,316
109,396,389,389
109,387,382,382
109,375,374,374
109,406,393,393
110,334,327,327
110,397,396,396
110,388,387,387
110,375,373,373
110,414,406,406
111,334,332,332
111,397,395,395
111,403,387,387
111,385,374,374
111,413,409,409
112,329,323,323
112,395,394,394
112,405,403,403
112,390,384,384
112,422,411,411
113,331,328,328
113,402,400,400
113,405,404,404
113,390,389,389
113,418,415,415
114,331,330,330
114,400,394,394
114,407,400,400
114,392,389,389
114,426,417,417
115,334,331,331
115,395,393,393
115,409,407,407
115,395,390,390
115,433,424,424
116,330,329,329
116,394,393,393
116,407,406,406
116,408,393,393
116,435,432,432
117,331,329,329
