PID,Turnaround,Waiting,Response
0,4,3,3
0,921,916,0
0,929,911,4
0,923,913,0
0,17,10,0
1,3,0,0
1,921,913,0
1,915,910,0
1,4,3,3
1,3,0,0
2,6,3,3
2,9,7,7
2,7,6,6
2,5,3,3
2,4,2,2
3,7,5,5
3,7,3,3
3,929,919,3
3,6,3,3
3,28,7,2
4,898,889,6
4,921,912,5
4,926,921,3
4,9,5,5
4,7,6,6
5,12,9,9
5,10,7,7
5,9,6,6
5,9,7,7
5,3,2,2
6,13,11,11
6,918,913,8
6,7,6,6
6,912,907,6
6,917,912,16
7,9,8,8
7,12,11,11
7,8,5,5
7,6,4,4
7,915,905,12
8,894,887,9
8,919,913,15
8,929,915,7
8,911,906,8
8,12,11,11
9,13,11,11
9,15,12,12
9,11,10,10
9,13,11,11
9,14,11,11
10,14,12,12
10,19,18,18
10,8,6,6
10,916,906,13
10,913,904,13
11,892,886,13
11,18,17,17
11,9,8,8
11,933,911,16
11,918,909,17
12,17,14,14
12,925,912,18
12,12,8,8
12,22,18,18
12,23,20,20
13,890,883,15
13,946,920,21
13,12,9,9
13,929,923,18
13,925,912,22
14,18,15,15
14,25,22,22
14,14,12,12
14,929,924,21
14,26,25,25
15,21,17,17
15,946,937,23
15,16,12,12
15,932,924,24
15,26,24,24
16,886,881,21
16,28,26,26
16,16,15,15
16,931,926,26
16,922,916,24
17,26,24,24
17,23,21,21
17,920,911,15
17,33,29,29
17,26,23,23
18,890,880,25
18,959,931,20
18,20,19,19
18,934,922,29
18,921,913,26
19,29,26,26
19,962,955,24
19,923,914,18
19,37,33,33
19,922,916,29
20,30,28,28
20,29,27,27
20,23,22,22
20,31,30,30
20,34,32,32
21,885,878,26
21,29,28,28
21,923,916,20
21,934,922,30
21,33,31,31
22,888,880,29
22,962,949,22
22,23,22,22
22,32,31,31
22,33,31,31
23,890,882,31
23,969,956,24
23,920,912,18
23,952,926,31
23,33,32,32
24,36,34,34
24,29,28,28
24,922,914,20
24,37,34,34
24,919,902,24
25,34,33,33
25,977,964,28
25,23,22,22
25,38,34,34
25,933,914,27
26,887,877,29
26,32,29,29
26,924,916,23
26,950,938,32
26,30,29,29
27,34,32,32
27,32,30,30
27,926,919,26
27,35,31,31
27,936,922,25
28,35,34,34
28,32,31,31
28,26,24,24
28,36,35,35
28,937,931,28
29,36,33,33
29,34,32,32
29,920,911,21
29,35,33,33
29,29,28,28
30,884,879,35
30,31,30,30
30,921,911,20
30,30,27,27
30,934,928,28
31,886,880,39
31,30,29,29
31,24,22,22
31,32,31,31
31,35,34,34
32,885,877,38
32,28,26,26
32,23,22,22
32,31,28,28
32,33,29,29
33,45,41,41
33,978,956,27
33,920,912,22
33,932,926,30
33,34,33,33
34,45,44,44
34,34,31,31
34,22,20,20
34,933,927,33
34,35,32,32
35,885,873,39
35,979,973,33
35,911,905,17
35,33,31,31
35,928,922,33
36,41,40,40
36,39,36,36
36,24,20,20
36,929,919,29
36,37,36,36
37,882,875,38
37,37,36,36
37,23,22,22
37,927,921,29
37,38,35,35
38,883,877,41
38,38,35,35
38,909,897,16
38,35,31,31
38,927,919,36
39,884,877,43
39,976,966,35
39,19,16,16
39,33,32,32
39,43,40,40
40,883,878,45
40,42,38,38
40,19,18,18
40,917,911,26
40,933,922,42
41,882,876,47
41,45,41,41
41,906,898,17
41,925,913,30
41,44,43,43
42,47,46,46
42,43,42,42
42,902,896,15
42,926,918,31
42,43,41,41
43,50,48,48
43,970,964,43
43,907,898,19
43,38,35,35
43,935,924,46
44,51,49,49
44,968,963,39
44,22,20,20
44,39,37,37
44,46,44,44
45,882,872,49
45,46,45,45
45,18,17,17
45,40,37,37
45,48,46,46
46,883,878,53
46,971,964,46
46,896,891,14
46,931,919,40
46,48,47,47
47,887,873,51
47,48,47,47
47,22,18,18
47,43,41,41
47,49,47,47
48,902,882,54
48,968,963,47
48,898,888,18
48,40,39,39
48,932,922,46
49,903,897,57
49,970,964,51
49,906,894,22
49,40,39,39
49,934,927,49
50,64,61,61
50,986,978,58
50,28,26,26
50,921,916,37
50,50,47,47
51,67,63,63
51,982,964,53
51,904,899,25
51,44,40,40
51,928,923,49
52,68,67,67
52,58,57,57
52,33,29,29
52,47,44,44
52,51,50,50
53,904,895,65
53,61,59,59
53,33,29,29
53,920,914,45
53,923,918,48
54,69,68,68
54,988,976,58
54,911,896,33
54,924,916,49
54,55,51,51
55,903,896,66
55,63,60,60
55,31,29,29
55,54,52,52
55,56,53,53
56,71,69,69
56,61,58,58
56,905,898,30
56,56,53,53
56,924,916,56
57,899,892,65
57,61,60,60
57,906,900,33
57,53,49,49
57,927,920,60
58,64,61,61
58,63,61,61
58,38,36,36
58,55,52,52
58,70,69,69
59,66,63,63
59,981,973,60
59,908,900,37
59,920,906,51
59,933,921,65
60,67,65,65
60,988,976,63
60,43,41,41
60,56,54,54
60,65,62,62
61,64,61,61
61,65,63,63
61,43,42,42
61,917,909,50
61,933,928,69
62,883,878,63
62,66,62,62
62,904,898,38
62,55,52,52
62,68,66,66
63,882,877,65
63,971,966,55
63,903,894,36
63,58,55,55
63,927,922,68
64,880,873,64
64,56,55,55
64,35,31,31
64,57,55,55
64,928,921,70
65,71,67,67
65,57,53,53
65,37,35,35
65,907,900,49
65,74,73,73
66,879,874,70
66,967,958,55
66,897,889,36
66,52,49,49
66,924,913,64
67,74,73,73
67,974,966,61
67,40,37,37
67,53,52,52
67,925,918,66
68,880,873,73
68,970,961,57
68,42,38,38
68,903,898,52
68,70,69,69
69,74,73,73
69,973,968,63
69,893,888,42
69,914,898,55
69,71,67,67
70,74,70,70
70,68,67,67
70,891,885,42
70,917,909,58
70,926,916,70
71,877,867,73
71,71,68,68
71,891,885,44
71,929,911,60
71,78,74,74
72,877,871,75
72,978,969,71
72,893,881,42
72,929,921,60
72,949,922,78
73,79,77,77
