PID,Turnaround,Waiting,Response
0,3,2,2
0,7,2,0
0,196,178,2
0,52,42,0
0,15,8,0
1,8,5,0
1,41,33,0
1,12,7,0
1,2,1,1
1,7,4,0
2,14,11,2
2,6,4,4
2,3,2,2
2,3,1,1
2,5,3,3
3,5,3,3
3,12,8,2
3,84,74,3
3,12,9,3
3,166,145,4
4,98,89,5
4,126,117,4
4,36,31,4
4,13,9,4
4,7,6,6
5,19,16,6
5,26,23,6
5,20,17,5
5,6,4,4
5,3,2,2
6,9,7,7
6,54,49,6
6,7,6,6
6,52,47,8
6,10,5,1
7,6,5,5
7,10,9,9
7,25,22,7
7,8,6,6
7,77,67,2
8,79,72,6
8,66,60,12
8,344,330,10
8,62,57,8
8,4,3,3
9,10,8,8
9,34,31,10
9,12,11,11
9,11,9,9
9,19,16,3
10,12,10,10
10,14,13,13
10,12,10,10
10,171,161,11
10,159,150,6
11,67,61,11
11,15,14,14
11,13,12,12
11,1328,1306,14
11,163,154,8
12,33,30,10
12,572,559,15
12,42,38,14
12,42,38,14
12,32,29,9
13,134,127,12
13,1557,1531,16
13,42,39,14
13,77,71,12
13,542,529,12
14,42,39,12
14,45,42,16
14,18,16,16
14,79,74,15
14,14,13,13
15,45,41,13
15,248,239,18
15,49,45,17
15,136,128,16
15,15,13,13
16,89,84,15
16,23,21,21
16,21,20,20
16,91,86,18
16,78,72,15
17,18,16,16
17,21,19,19
17,222,213,20
17,55,51,19
17,47,44,16
18,253,243,17
18,1584,1556,20
18,23,22,22
18,382,370,21
18,175,167,18
19,55,52,18
19,196,189,22
19,229,220,21
19,59,55,23
19,102,96,20
20,22,20,20
20,27,25,25
20,24,23,23
20,25,24,24
20,23,21,21
21,205,198,22
21,27,26,26
21,151,144,23
21,435,423,25
21,26,24,24
22,208,200,23
22,956,943,24
22,24,23,23
22,27,26,26
22,26,24,24
23,216,208,25
23,990,977,26
23,166,158,23
23,1559,1533,28
23,26,25,25
24,29,27,27
24,29,28,28
24,174,166,24
24,72,69,29
24,1351,1334,25
25,29,28,28
25,992,979,28
25,25,24,24
25,74,70,31
25,1445,1426,26
26,392,382,28
26,77,74,27
26,176,168,25
26,548,536,31
26,28,27,27
27,31,29,29
27,31,29,29
27,176,169,26
27,77,73,32
27,1071,1057,27
28,32,31,31
28,31,30,30
28,30,28,28
28,35,34,34
28,168,162,28
29,82,79,32
29,33,31,31
29,362,353,27
29,36,34,34
29,31,30,30
30,156,151,34
30,32,31,31
30,390,380,28
30,82,79,33
30,172,166,30
31,160,154,36
31,33,32,32
31,32,30,30
31,36,35,35
31,33,32,32
32,296,288,34
32,35,33,33
32,31,30,30
32,85,82,33
32,88,84,29
33,94,90,35
33,1508,1486,34
33,259,251,32
33,164,158,36
33,32,31,31
34,39,38,38
34,96,93,36
34,34,32,32
34,171,165,39
34,92,89,32
35,808,796,38
35,184,178,37
35,146,140,31
35,39,37,37
35,186,180,34
36,40,39,39
36,102,99,38
36,83,79,34
36,515,505,37
36,36,35,35
37,335,328,37
37,40,39,39
37,37,36,36
37,187,181,39
37,108,105,36
38,193,187,38
38,108,105,40
38,945,933,34
38,108,104,41
38,354,346,38
39,334,327,38
39,620,610,41
39,94,91,34
39,43,42,42
39,114,111,40
40,201,196,39
40,114,110,44
40,38,37,37
40,200,194,38
40,976,965,43
41,215,209,43
41,115,111,45
41,375,367,38
41,898,886,40
41,45,44,44
42,43,42,42
42,47,46,46
42,205,199,36
42,381,373,41
42,44,42,42
43,44,42,42
43,224,218,46
43,728,719,38
43,118,115,43
43,990,979,47
44,45,43,43
44,212,207,44
44,43,41,41
44,46,44,44
44,47,45,45
45,588,578,43
45,47,46,46
45,41,40,40
45,116,113,45
45,51,49,49
46,225,220,45
46,411,404,47
46,228,223,41
46,962,950,47
46,53,52,52
47,1115,1101,46
47,47,46,46
47,121,117,43
47,49,47,47
47,54,52,52
48,1394,1374,47
48,245,240,47
48,845,835,45
48,50,49,49
48,782,772,53
49,249,243,48
49,264,258,49
49,1078,1066,47
49,52,51,51
49,469,462,54
50,131,128,50
50,484,476,52
50,51,49,49
50,252,247,51
50,140,137,56
51,138,134,53
51,1420,1402,49
51,281,276,50
51,133,129,52
51,263,258,57
52,56,55,55
52,52,51,51
52,135,131,52
52,136,133,54
52,58,57,57
53,729,720,55
53,55,53,53
53,142,138,54
53,269,263,54
53,266,261,56
54,58,57,57
54,1113,1101,56
54,1357,1342,56
54,471,463,56
54,147,143,57
55,461,454,57
55,143,140,56
55,58,56,56
55,59,57,57
55,150,147,59
56,60,58,58
56,142,139,56
56,606,599,57
56,141,138,58
56,514,506,61
57,488,481,60
57,60,59,59
57,331,325,60
57,144,140,59
57,515,508,63
58,156,153,60
58,62,60,60
58,63,61,61
58,151,148,62
58,68,67,67
59,157,154,61
59,533,525,60
59,633,625,64
59,1208,1194,64
59,1123,1111,65
60,66,64,64
60,1115,1103,63
60,68,66,66
60,67,65,65
60,157,154,63
61,168,165,64
61,65,63,63
61,68,67,67
61,533,525,65
61,309,304,68
62,323,318,67
62,160,156,65
62,377,371,69
62,170,167,67
62,69,67,67
63,325,320,67
63,330,325,66
63,1000,991,69
63,171,168,69
63,320,315,69
64,555,548,66
64,67,66,66
64,186,182,69
64,72,70,70
64,592,585,70
65,179,175,69
65,177,173,66
65,73,71,71
65,613,606,68
65,74,73,73
66,338,333,70
66,967,958,68
66,776,768,72
66,183,180,68
66,1144,1133,68
67,72,71,71
67,690,682,70
67,206,203,75
67,71,70,70
67,646,639,70
68,592,585,72
68,977,968,68
68,207,203,75
68,360,355,70
68,74,73,73
69,75,74,74
69,400,395,72
69,438,433,77
69,1330,1314,71
69,184,180,71
70,200,196,75
70,75,74,74
70,463,457,79
70,642,634,72
70,950,940,72
71,900,890,76
71,204,201,75
71,474,468,79
71,1392,1374,74
71,191,187,74
72,373,367,77
72,1017,1008,77
72,1190,1178,80
72,687,679,74
72,1537,1510,76
73,81,79,79
73,80,79,79
73,243,240,82
73,1121,1110,76
73,390,384,77
74,210,207,80
74,1418,1400,81
74,1411,1393,83
74,390,384,78
74,82,80,80
75,914,905,81
75,779,771,79
75,85,84,84
75,397,391,79
75,989,980,79
76,675,668,80
76,806,799,80
76,523,517,85
76,216,212,81
76,81,80,80
77,405,399,79
77,472,467,82
77,1364,1349,87
77,214,211,81
77,1179,1168,80
78,84,82,82
78,85,84,84
78,89,88,88
78,973,963,79
78,82,81,81
79,1341,1323,84
79,83,82,82
79,263,260,89
79,215,211,82
79,84,82,82
80,731,723,86
80,86,84,84
80,266,262,91
80,216,212,83
80,761,753,80
81,89,87,87
81,230,227,85
81,1061,1051,90
81,86,85,85
81,1513,1488,84
82,430,425,90
82,229,225,84
82,858,851,90
82,215,212,84
82,87,85,85
83,1221,1207,91
83,86,85,85
83,268,265,90
83,1137,1125,86
83,1366,1351,87
84,94,93,93
84,87,85,85
84,94,92,92
84,420,414,87
84,806,798,88
85,984,974,93
85,88,87,87
85,95,94,94
85,90,89,89
85,92,90,90
86,454,449,94
86,236,233,87
86,97,96,96
86,1410,1391,89
86,92,91,91
87,1121,1109,94
87,90,88,88
87,275,272,96
87,93,91,91
87,1293,1279,91
88,466,460,98
88,91,89,89
88,1195,1184,96
88,94,92,92
88,1061,1052,96
89,252,249,96
89,502,497,91
89,597,591,95
89,97,95,95
89,235,231,94
90,255,252,99
90,519,514,90
90,1292,1278,97
90,491,485,97
90,835,828,96
91,101,100,100
91,1212,1201,92
91,1296,1283,100
91,503,498,98
91,99,97,97
92,1209,1196,101
92,850,843,94
92,632,627,102
92,101,99,99
92,840,833,98
93,791,784,104
