PID,Turnaround,Waiting,Response
0,1,0,0
0,5,0,0
0,1552,1534,1534
0,900,890,0
0,13,6,0
1,6,3,1
1,86,78,55
1,6,1,0
1,1,0,0
1,6,3,0
2,18,15,15
2,2,0,0
2,1,0,0
2,2,0,0
2,2,0,0
3,2,0,0
3,6,2,2
3,44,34,0
3,3,0,0
3,1246,1225,6
4,883,874,874
4,951,942,942
4,13,8,0
4,8,4,4
4,1,0,0
5,8,5,4
5,3,0,0
5,3,0,0
5,2,0,0
5,1,0,0
6,3,1,1
6,17,12,7
6,1,0,0
6,34,29,28
6,5,0,0
7,1,0,0
7,1,0,0
7,4,1,0
7,3,1,1
7,20,10,0
8,721,714,714
8,27,21,16
8,1297,1283,1283
8,12,7,3
8,1,0,0
9,2,0,0
9,6,3,2
9,1,0,0
9,2,0,0
9,3,0,0
10,3,1,1
10,1,0,0
10,3,1,1
10,964,954,954
10,835,826,826
11,39,33,8
11,1,0,0
11,1,0,0
11,1528,1506,1506
11,907,898,898
12,5,2,2
12,1187,1174,1174
12,11,7,2
12,4,0,0
12,5,2,1
13,705,698,698
13,1571,1545,1545
13,11,8,8
13,49,43,43
13,1191,1178,1178
14,3,0,0
14,3,0,0
14,2,0,0
14,12,7,3
14,1,0,0
15,13,9,4
15,883,874,874
15,14,10,10
15,749,741,741
15,3,1,1
16,21,16,13
16,2,0,0
16,1,0,0
16,32,27,27
16,22,16,16
17,3,1,1
17,2,0,0
17,877,868,868
17,4,0,0
17,6,3,1
18,963,953,953
18,1583,1555,1555
18,1,0,0
18,1083,1071,1071
18,65,57,24
19,5,2,0
19,15,8,7
19,821,812,812
19,9,5,4
19,23,17,16
20,2,0,0
20,3,1,0
20,1,0,0
20,1,0,0
20,2,0,0
21,662,655,655
21,1,0,0
21,23,16,14
21,1087,1075,1075
21,3,1,1
22,783,775,775
22,1174,1161,1161
22,1,0,0
22,1,0,0
22,4,2,2
23,757,749,749
23,1224,1211,1211
23,59,51,36
23,1552,1526,1526
23,1,0,0
24,2,0,0
24,1,0,0
24,34,26,24
24,5,2,2
24,1381,1364,1364
25,1,0,0
25,1145,1132,1132
25,1,0,0
25,6,2,2
25,1451,1432,1432
26,953,943,943
26,3,0,0
26,740,732,732
26,1133,1121,1121
26,1,0,0
27,3,1,1
27,7,5,4
27,18,11,11
27,7,3,1
27,1280,1266,1266
28,1,0,0
28,1,0,0
28,2,0,0
28,1,0,0
28,7,1,0
29,7,4,4
29,3,1,1
29,858,849,849
29,2,0,0
29,1,0,0
30,16,11,11
30,1,0,0
30,900,890,890
30,6,3,3
30,90,84,34
31,23,17,17
31,1,0,0
31,2,0,0
31,1,0,0
31,2,1,1
32,707,699,699
32,2,0,0
32,1,0,0
32,7,4,4
32,10,6,2
33,5,1,0
33,1476,1454,1454
33,56,48,33
33,13,7,5
33,1,0,0
34,1,0,0
34,4,1,1
34,2,0,0
34,18,12,12
34,3,0,0
35,1089,1077,1077
35,60,54,50
35,11,5,0
35,2,0,0
35,89,83,82
36,1,0,0
36,6,3,2
36,5,1,0
36,865,855,855
36,1,0,0
37,130,123,105
37,1,0,0
37,1,0,0
37,15,9,9
37,5,2,2
38,19,13,3
38,4,1,1
38,1092,1080,1080
38,7,3,2
38,680,672,672
39,631,624,624
39,942,932,932
39,4,1,0
39,1,0,0
39,6,3,3
40,6,1,0
40,4,0,0
40,1,0,0
40,26,20,15
40,984,973,973
41,34,28,28
41,8,4,4
41,706,698,698
41,1074,1062,1062
41,1,0,0
42,1,0,0
42,1,0,0
42,8,2,0
42,702,694,694
42,3,1,1
43,2,0,0
43,48,42,42
43,787,778,778
43,5,2,0
43,990,979,979
44,3,1,1
44,16,11,9
44,2,0,0
44,2,0,0
44,5,3,3
45,896,886,886
45,1,0,0
45,1,0,0
45,7,4,2
45,4,2,2
46,16,11,6
46,99,92,78
46,35,30,30
46,1044,1032,1032
46,1,0,0
47,1153,1139,1139
47,1,0,0
47,4,0,0
47,2,0,0
47,4,2,2
48,1390,1370,1370
48,24,19,13
48,865,855,855
48,1,0,0
48,895,885,885
49,31,25,20
49,68,62,62
49,1075,1063,1063
49,1,0,0
49,88,81,78
50,4,1,0
50,750,742,742
50,2,0,0
50,38,33,25
50,3,0,0
51,13,9,7
51,1332,1314,1314
51,23,18,11
51,18,14,11
51,8,3,2
52,1,0,0
52,1,0,0
52,7,3,3
52,3,0,0
52,1,0,0
53,800,791,791
53,2,0,0
53,7,3,3
53,45,39,35
53,26,21,21
54,1,0,0
54,1070,1058,1058
54,1260,1245,1245
54,717,709,709
54,9,5,1
55,590,583,583
55,3,0,0
55,2,0,0
55,2,0,0
55,4,1,0
56,2,0,0
56,6,3,0
56,556,549,549
56,7,4,4
56,680,672,672
57,604,597,597
57,1,0,0
57,20,14,14
57,13,9,9
57,590,583,583
58,3,0,0
58,3,1,1
58,2,0,0
58,3,0,0
58,1,0,0
59,10,7,7
59,669,661,661
59,673,665,665
59,1105,1091,1091
59,1052,1040,1040
60,3,1,1
60,1046,1034,1034
60,4,2,2
60,3,1,1
60,8,5,5
61,6,3,3
61,2,0,0
61,1,0,0
61,688,680,680
61,15,10,9
62,10,5,5
62,4,0,0
62,20,14,12
62,3,0,0
62,2,0,0
63,19,14,14
63,10,5,5
63,776,767,767
63,8,5,5
63,19,14,13
64,608,601,601
64,1,0,0
64,12,8,8
64,2,0,0
64,76,69,66
65,7,3,3
65,8,4,3
65,2,0,0
65,23,16,16
65,1,0,0
66,26,21,21
66,807,798,798
66,619,611,611
66,4,1,1
66,897,886,886
67,1,0,0
67,671,663,663
67,4,1,1
67,1,0,0
67,127,120,113
68,520,513,513
68,841,832,832
68,10,6,6
68,11,6,6
68,1,0,0
69,1,0,0
69,11,6,6
69,18,13,10
69,1215,1199,1199
69,4,0,0
70,6,2,2
70,1,0,0
70,22,16,14
70,596,588,588
70,838,828,828
71,866,856,856
71,6,3,3
71,33,27,27
71,1281,1263,1263
71,9,5,5
72,19,13,13
72,812,803,803
72,933,921,921
72,630,622,622
72,1541,1514,1514
73,3,1,1
73,1,0,0
73,3,0,0
73,907,896,896
73,31,25,21
74,3,0,0
74,1262,1244,1244
74,1353,1335,1335
74,17,11,8
74,3,1,1
75,753,744,744
75,671,663,663
75,1,0,0
75,22,16,15
75,739,730,730
76,512,505,505
76,586,579,579
76,451,445,445
76,4,0,0
76,1,0,0
77,10,4,0
77,8,3,2
77,1183,1168,1168
77,3,0,0
77,862,851,851
78,2,0,0
78,1,0,0
78,1,0,0
78,775,765,765
78,1,0,0
79,1258,1240,1240
79,1,0,0
79,5,2,2
79,8,4,4
79,2,0,0
80,611,603,603
80,2,0,0
80,7,3,3
80,21,17,13
