Processes,Algorithm,AvgWaitingTime,AvgTurnaroundTime,AvgResponseTime
100,RR,343.018,353.626,108.328
100,SRTF,148.734,159.342,146.126
100,FCFS,334.404,345.012,334.404
100,MLFQ,345.73,356.338,21.618
150,RR,495.685,505.531,171.179
150,SRTF,204.425,214.271,200.855
150,FCFS,477.501,487.347,477.501
150,MLFQ,492.744,502.589,21.884
200,RR,767.636,778.24,246.028
200,SRTF,328.259,338.863,323.9
200,FCFS,727.6,738.204,727.6
200,MLFQ,745.862,756.466,44.816
250,RR,877.536,887.83,294.734
250,SRTF,365.122,375.416,360.864
250,FCFS,894.278,904.572,894.278
250,MLFQ,885.372,895.666,42.5872
300,RR,1022.17,1032.26,343
300,SRTF,425.944,436.039,422.322
300,FCFS,1030.16,1040.25,1030.16
300,MLFQ,1014.21,1024.3,48.41
400,RR,1452.16,1462.66,475.272
400,SRTF,595.997,606.496,592.185
400,FCFS,1448.66,1459.16,1448.66
400,MLFQ,1433.32,1443.82,46.344
500,RR,1746.84,1757.29,582.033
500,SRTF,715.788,726.237,709.199
500,FCFS,1764.33,1774.78,1764.33
500,MLFQ,1762.45,1772.89,57.3256
600,RR,2134.43,2144.98,699.932
600,SRTF,884.096,894.637,878.65
600,FCFS,2161.32,2171.86,2161.32
600,MLFQ,2172.51,2183.05,76.554
700,RR,2447.27,2457.62,823.362
700,SRTF,1007.69,1018.04,1002.29
700,FCFS,2457.21,2467.56,2457.21
700,MLFQ,2461.29,2471.64,75.7414
800,RR,2842.58,2852.94,953.281
800,SRTF,1160.66,1171.01,1154.12
800,FCFS,2867.67,2878.02,2867.67
800,MLFQ,2873.03,2883.39,87.5045
900,RR,3304.57,3315.25,1060.65
900,SRTF,1354.52,1365.2,1350.76
900,FCFS,3301.22,3311.9,3301.22
900,MLFQ,3294.69,3305.37,90.3267
1000,RR,3533.57,3544.1,1160.48
1000,SRTF,1456.22,1466.74,1452.3
1000,FCFS,3529.88,3540.4,3529.88
1000,MLFQ,3540.22,3550.74,100.479
1100,RR,4082.79,4093.44,1323.21
1100,SRTF,1707.07,1717.73,1704.66
1100,FCFS,4029.37,4040.03,4029.37
1100,MLFQ,4069.58,4080.23,156.168
1200,RR,4293.5,4304.05,1396.66
1200,SRTF,1769.32,1779.87,1764.72
1200,FCFS,4295.83,4306.38,4295.83
1200,MLFQ,4278.68,4289.23,93.2878
1300,RR,4710.7,4721.37,1529.53
1300,SRTF,1956.11,1966.77,1954.77
1300,FCFS,4717.93,4728.58,4717.93
1300,MLFQ,4721.2,4731.87,120.273
1400,RR,5003.86,5014.29,1678.82
1400,SRTF,2042.07,2052.5,2036.64
1400,FCFS,5015.35,5025.8,5015.35
1400,MLFQ,5016.27,5026.71,101.093
1500,RR,5314.99,5325.37,1772.93
1500,SRTF,2192.72,2203.1,2188.39
1500,FCFS,5286.69,5297.09,5286.69
1500,MLFQ,5345.81,5356.18,137.723
1600,RR,5798.46,5809.08,1895.96
1600,SRTF,2383.06,2393.65,2379.9
1600,FCFS,5892.59,5903.19,5892.59
1600,MLFQ,5789.24,5799.85,129.334
1700,RR,6150.84,6161.37,2034.84
1700,SRTF,2520.2,2530.71,2516.14
1700,FCFS,6125.82,6136.32,6125.82
1700,MLFQ,6116.37,6126.89,141.882
1800,RR,6532.55,6543.08,2143.86
1800,SRTF,2681.34,2691.87,2676.69
1800,FCFS,6495.65,6506.18,6495.65
1800,MLFQ,6464.96,6475.49,134.874
1900,RR,6813.78,6824.29,2241.83
1900,SRTF,2824.78,2835.27,2822.77
1900,FCFS,6832.26,6842.74,6832.26
1900,MLFQ,6839.44,6849.95,185.953
2000,RR,7303.41,7314,2398.59
2000,SRTF,3047.83,3058.41,3045.89
2000,FCFS,7265.85,7276.44,7265.85
2000,MLFQ,7269.92,7280.54,208.821
